id,title,level
m1,幻想のサテライト,18.1
m2,魔理沙は大変なものを盗んでいきました,18.7
m3,物凄い勢いでけーねが物凄いうた,18.6
m4,Earthquake Super Shock -SDVX Edit.-,18.3
m5,腐れ外道とチョコレゐト,18.0
m6,孤独の番人,18.4
m7,Onigo,18.6
m8,香港功夫大旋風,18.2
m9,Ganymede kamome mix,19.3
m10,V.I.P.,18.7
m11,Absurd Gaff,18.6
m12,大宇宙ステージ,19.2
m13,croiX,18.6
m14,PANIC HOLIC,18.1
m15,Max Burning!!,18.5
m16,金縛りの逢を,18.1
m17,The world of sound,18.7
m18,Evans VolteX Pf arrange,18.3
m19,Broken 8cmix,18.6
m20,Xepher Light and Darkness Dragon REMIX,18.4
m21,冥 Rockin' SWING REMIX,18.2
m22,FLOWER REDALiCE Remix,18.6
m23,neu BSP style,18.5
m24,世界はネコのもの,18.3
m25,魔境堕天録サリエル,18.7
m26,ウサテイ,18.0
m27,最終鬼畜妹フランドール・S,18.1
m28,#Fairy_dancing_in_lake,18.6
m29,おお われら喜び讃うべし、主よ,18.3
m30,上海紅茶館 ～ Chinese Tea Orchid Remix,18.4
m31,U.N.オーエンは彼女なのか？haru_naba Remix,19.3
m32,werewolf howls.,19.2
m33,こちら、幸福安心委員会です。,18.5
m34,ラクガキスト,19.1
m35,バンブーソード・ガール,19.4
m36,有頂天ビバーチェ,18.2
m37,Sakura Reflection (P*Light Slayer Remix),18.1
m38,"She is my wife
すーぱーアイドル☆ミツル子Remixちゃん",18.6
m39,音楽 -resolve-,19.1
m40,Unicorn tail Dustboxxxx RMX,18.1
m41,snow storm -euphoria-,19.1
m42,Foolish Hero,18.4
m43,Qubism,18.4
m44,C18H27NO3,18.1
m45,Lieselotte,18.1
m46,Joyeuse,19.3
m47,Quietus Ray,19.6
m48,Booths of Fighters,19.3
m49,Crack Traxxxx,18.4
m50,XROSS INFECTION,19.2
m51,BUBBLE RAVER,18.4
m52,ムーニャポヨポヨスッポコニャーゴ,18.8
m53,crazy cinema story,18.8
m54,Fiat Lux,19.7
m55,Innocent Tempest,19.2
m56,ボルテ体操第一,18.5
m57,超越してしまった彼女と其を生み落した理由,18.8
m58,Bangin' Burst,19.5
m59,For UltraPlayers,19.7
m60,BLACK or WHITE?,19.1
m61,Hellfire,18.6
m62,Last Concerto,18.8
m63,Verse IV,19.3
m64,Harpuia,18.5
m65,Black Emperor,19.3
m66,VILE CAT,19.2
m67,Wish upon Twin Stars,18.7
m68,Growth Memories,19.0
m69,CODE -CRiMSON-,18.6
m70,VALLIS-NERIA,19.3
m71,I'm so Happy,18.3
m72,恋はどう？モロ◎波動OK☆方程式!!,18.2
m73,HYENA,19.6
m74,デッドボヲルdeホームラン,18.6
m75,轟け！恋のビーンボール！！,18.6
m76,IX,19.1
m77,Idola,18.7
m78,INSECTICIDE,19.2
m79,Opium and Purple haze,18.0
m80,BEAT-NEW-WORLD,19.2
m81,幸せになれる隠しコマンドがあるらしい,19.1
m82,XyHATTE,19.6
m83,初音ミクの消失*4,19.6
m84,The Sampling Paradise (P*Light Remix),18.6
m85,INF-B《L-aste-R》,19.6
m86,False Cross,19.2
m87,Le Fruit Défendu,18.3
m88,veRtrageS,19.6
m89,Invitation from Mr.C,19.3
m90,2 MINUTES FIGHTERS,19.4
m91,LegenD.,19.2
m92,World's end,19.8
m93,Everlasting Message,19.3
m94,混乱少女♥そふらんちゃん!!,19.6
m95,Sayonara Planet Wars,20.3
m96,Chant du Cygne,18.8
m97,到達してしまった僕らと夢と希望の最之果,19.6
m98,KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,18.5
m99,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,19.5
m100,End to end,19.2
m101,EMPIRE OF FLAME,19.2
m102,Candy Colored Hearts,18.7
m103,雲の彼方,18.5
m104,NEO GRAVITY,18.7
m105,Lachryma《Re:Queen’M》,20.2
m106,The star in eclipse,18.2
m107,Sounds Of Summer,18.3
m108,ΕΛΠΙΣ,19.2
m109,FLOWER,19.1
m110,Angelic Jelly,18.3
m111,Triple Counter,18.2
m112,ちくわパフェだよ☆ＣＫＰ,18.7
m113,ΑΩ,19.4
m114,Blastix Riotz,19.4
m115,Preserved Valkyria,19.2
m116,HAELE III ~Angel Worlds~,18.7
m117,月光乱舞,19.0
m118,XROSS THE XOUL,18.4
m119,Renegade Fruits,18.2
m120,Ok!! Hug Me,18.3
m121,Completeness Under Incompleteness,18.7
m122,Celestial stinger,18.5
m123,DIABLOSIS::Nāga,19.3
m124,NEO TREASON,18.4
m125,Lord=Crossight,19.1
m126,FLügeL《Λrp:ΣggyØ》,19.7
m127,極圏,19.0
m128,Garakuta Doll Play,18.6
m129,きたさいたま2000,19.1
m130,Got more raves？,19.0
m131,conflict,18.5
m132,B.B.K.K.B.K.K.,18.1
m133,Halcyon,19.4
m134,FIRE IN MY HEART,18.2
m135,雷鼓サンダービート,18.2
m136,Sweet Requiem,18.2
m137,SACRIFICE feat.ayame,18.4
m138,のぼれ八坂坂！,18.3
m139,誰が為に兎は舞う＝狂速狂騒曲＝,18.2
m140,KIMIDORI Streak!!,18.0
m141,Victim of Nights,18.1
m142,Black night,18.0
m143,Breakin' Asia,18.0
m144,Lunatic Sprinter,18.3
m145,Venomous Firefly,18.9
m146,Night Rockin' Bird,18.1
m147,Nostalgic Blood of the Strife,18.5
m148,永遠に幸せになる方法、見つけました。,18.5
m149,New Leaf,18.0
m150,ワールズエンド・ダンスホール,18.1
m151,壊Rave*it!! 壊Rave*it!!,18.5
m152,キュリオシティ,18.9
m153,Noisy Minority,18.4
m154,ドリームエンド・サバイバー,18.1
m155,準備運動,18.8
m156,Cepheus,18.5
m157,The Golden Era,18.3
m158,Gorgetech,18.5
m159,Ghost Trigger,18.4
m160,HP:1,18.5
m161,極彩天奏,18.7
m162,Lowermost revolt,18.6
m163,Immortal saga,19.0
m164,Fin.ArcDeaR,19.0
m165,HE4VEN ～天国へようこそ～,20.0
m166,Make Magic,18.5
m167,iLLness LiLin,20.2
m168,ΩVERSOUL,18.8
m169,Gamerz FestivaL,18.5
m170,Sailing Force,19.2
m171,"超☆超☆光☆速☆出☆前☆最☆速!!!
スピード★スター★かなで",18.6
m172,JUNKIE FLAVOR,18.8
m173,Legendary Road,18.8
m174,Grand-Guignol,18.2
m175,Spirit of the Beast,18.4
m176,Khionos TiARA,18.6
m177,Goddess Bless you,18.2
m178,DropZ-Line-,18.4
m179,"KAC 2013 ULTIMATE MEDLEY
-HISTORIA SOUND VOLTEX- Empress Side",19.7
m180,I,20.2
m181,A Lasting Promise,19.4
m182,Cloud 9,18.5
m183,Sacrifice and Faith,18.4
m184,神話に芽吹く,18.9
m185,Last Resort,19.4
m186,Awakening,19.6
m187,Wings of Glory,18.3
m188,crossing blue,18.3
m189,Xéroa,19.6
m190,BlueMoon Princess,18.4
m191,Яe's NoVǢ,18.3
m192,SAtAN,18.6
m193,Divine's:Bugscript,18.8
m194,LastΩmegA,18.4
m195,Gate of Atlantis,18.7
m196,MeteorGlow Aftermath,18.6
m197,BLAZING_LAZER,18.0
m198,ホワイトパレード,18.5
m199,Levier'n NābYss,18.4
m200,Akzeriyyuth,18.0
m201,Beyond the BLUE,18.2
m202,Divine's or Deal,18.2
m203,ファイナルレター,18.3
m204,ULTRAVELOCITY,18.5
m205,ΣmbryØ,20.2
m206,Cross Fire,19.1
m207,GODHEART,19.2
m208,THE HEAVEN,18.5
m209,祝福の色彩は想い結ぶ君たち迄,18.6
m210,Destiny,18.4
m211,*Feels Seasickness...*,20.0
m212,"FLOOR INFECTION Medley
from SOUND VOLTEX×jubeat",18.5
m213,Boss Rush,18.3
m214,恋歌疾風！かるたクイーンいろは,18.1
m215,Rebellio,18.7
m216,"POLICY BREAK Medley
from SOUND VOLTEX×jubeat",18.5
m217,We Go Down,18.7
m218,Theme of Ricerca,18.1
m219,Concertino in Blue,18.8
m220,Glitter Flatter Scatter,18.4
m221,Be a Hero!,18.4
m222,НУМЛ,18.8
m223,びいすと！,18.0
m224,メイビ～初恋！？ビスケット☆大作戦,18.4
m225,MONOLITH,18.1
m226,Sky High,18.5
m227,CHERNOBOG,18.4
m228,Evans,18.3
m229,RHYZING BEAT,18.3
m230,Touch My Body,18.1
m231,Redshift,18.2
m232,ECHIDNA,18.5
m233,Chrono Diver -PENDULUMs-,19.3
m234,SUPER SUMMER SALE,18.1
m235,Puberty Dysthymia,18.5
m236,Prey,18.6
m237,Elemental Creation,19.1
m238,お米の美味しい炊き方、そしてお米を食べることによるその効果。,18.2
m239,GAIA,18.2
m240,STULTI,18.7
m241,Midnight City Warfare,18.4
m242,†渚の小悪魔ラヴリィ～レイディオ†,18.4
m243,Catch Our Fire!,18.3
m244,Yum Yum Sweetie,18.7
m245,MODEL FT4,18.5
m246,V,18.6
m247,ULTiMATE INFLATiON,18.5
m248,神獄烙桜,18.6
m249,Juggler's Maddness,18.5
m250,Staring at star,19.1
m251,セイレーン ～悲壮の竪琴～,19.4
m252,Dyscontrolled Galaxy,19.8
m253,Deadly force,19.4
m254,FIN4LE ～終止線の彼方へ～,20.5
m255,WHITEOUT,20.2
m256,Mirrorwall,18.7
m257,OPEN MY GATE,18.1
m258,#SpeedyCats,18.8
m259,Hug!! Vs. Hug!!,18.7
m260,BEAST BASS BOMB,18.3
m261,BELOBOG,19.4
m262,Absolute Domination,19.5
m263,オニユリ,18.5
m264,Xronièr,20.1
m265,サイコパスラビット,18.7
m266,水簾ノ調,18.0
m267,スラッシュ//シスターズ,18.0
m268,そして黄金郷へ,18.6
m269,光射す澪のユズリハ,18.5
m270,Failnaught,19.4
m271,Fly Like You,19.7
m272,GERBERA,18.8
m273,GERBERA-For Finalists-,19.5
m274,Nexta,18.5
m275,Reb∞t,18.5
m276,まじかる生主＠りすなちゃん,18.3
m277,PROVOES*PROPOSE <<êl fine>>,18.7
m278,逆月,19.0
m279,ALTONA,18.1
m280,真っ白な靴,18.0
m281,業焔繚乱,18.6
m282,TRICKL4SH 220,18.4
m283,Dreadnought,18.6
m284,The Formula,18.1
m285,PUPA,18.6
m286,Scarlet Lance,18.6
m287,セイクリッド ルイン,18.2
m288,FREEDOM DiVE,19.3
m289,Re：End of a Dream,18.7
m290,ouroboros -twin stroke of the end-,18.6
m291,Taiko Drum Monster,18.3
m292,ARROW RAIN,18.6
m293,諏訪大信仰,18.1
m294,怪盗Ｆの台本～消えたダイヤの謎～,18.3
m295,GALAXY BURST,18.5
m296,初音ミクの消失(Hommarju Remix)*3,18.4
m297,ANGER of the GOD,19.0
m298,Xroniàl Xéro,19.8
m299,び,18.8
m300,無魎大数,18.4
m301,アオアラシ,18.1
m302,Enchanté,18.1
m303,ツマミ戦隊 タテレンジャー,18.8
m304,To:BrandNewDeadline,18.5
m305,V Sen5eS,18.1
m306,eighth-slave,18.3
m307,Cynical Joker,18.2
m308,PARTY TIME!,18.3
m309,Vividly Impromptu,18.5
m310,Aurolla,18.4
m311,Glorious Journey,18.4
m312,翠雨の祷,18.1
m313,SociuS,18.5
m314,Atropa bella-donna,18.3
m315,Xicholauncher,18.1
m316,THE凸GENERATOR,19.8
m317,Barbatos,18.5
m318,JǛPITΨR ♃ GЯÃVITÝ,18.3
m319,FIRST：DREAMS,18.4
m320,Call of the World,18.6
m321,Turn the story,18.7
m322,Jacob’s Elevator,18.4
m323,Valanga(polysha Remix),18.6
m324,Elemental Creation (kamome sano Remix),18.7
m325,Mynarco(Nagomu 2Step Remix),18.2
m326,Re：Elemental Creation,18.6
m327,Innocent,18.4
m328,Ethereal Lotus,18.1
m329,Lazurite,18.2
m330,Valkyrja ~Aldrlag~,18.2
m331,Φnd:you,18.3
m332,Blessing Bouquet,18.2
m333,eternite,18.3
m334,Thank you for your playing music,18.2
m335,Defining Future,18.2
m336,Over The Top,18.6
m337,トマヨイ,18.4
m338,World of Iris,18.2
m339,Ichi-Go! DX Pancake!,18.4
m340,おはようからおやすみまでかまってポメポメ,18.2
m341,Electric Injury,18.4
m342,月々紅花,18.3
m343,SLEEPWALKER,18.2
m344,Ring!Run!Nyan!!,18.4
m345,色を喪った街,19.7
m346,Katharsis,18.6
m347,SAMURAI TIGER,18.7
m348,666,20.6
m349,ZEИITH,18.8
m350,9TH5IN,19.2
m351,ЯeviveR,19.6
m352,VVelcome!!,20.5
m353,†:OLPHEUX:†,19.4
m354,GEMINI LA2ER,18.5
m355,春告胡蝶,18.3
m356,ミュージックプレイヤー,18.1
m357,LubedeR,19.1
m358,Яe:son D'être,18.8
m359,Redshift 2nd Ignition,19.6
m360,最小三倍完全数,18.1
m361,Trill auf G,19.1
m362,voltississimo,19.3
m363,ミッドナイト☆WAR,18.2
m364,蛇神,18.4
m365,Übertreffen,18.7
m366,ランカーキラーガール,18.2
m367,ENDYMION,19.6
m368,Bolérrot,18.1
m369,MeteorA,18.6
m370,Our Love,18.1
m371,Nebulas,18.6
m372,αρχη,18.5
m373,卑弥呼,19.7
m374,memento mori -intro-,18.5
m375,Leviathan,18.4
m376,Lisa-RICCIA,19.0
m377,New Decade,18.2
m378,m1dy Deluxe,18.4
m379,狂水一華,18.2
m380,世界の果てに約束の凱歌を -VOLTEX Mix-,18.7
m381,On take SUN,18.2
m382,GaLaXyEggPlanT,18.3
m383,lEyl,18.3
m384,TENKAICHI ULTIMATE BOSSRUSH MEDLEY,19.5
m385,Barbless Ego,18.0
m386,Cloud Crasher,18.4
m387,Liar rain,18.4
m388,rE:Voltagers,18.1
m389,ΣgØ,20.0
m390,ΩVERFLOW,18.5
m391,Ghost Family Living In Graveyard,19.5
m392,Sudden Visitor,18.2
m393,petits fours,18.2
m394,星の透る夏空に願う,18.6
m395,mqlo,18.2
m396,Lancelot ～Flame of the Rebellion～,19.6
m397,LECTORIA,18.6
m398,Dogeza Stairs,18.5
m399,Aerial Fortress,18.9
m400,Typhoon Craaash!!,18.3
m401,ねこみみ(=ФωФ=)ぱんでみみっく,18.3
m402,タイムトラベル,18.5
m403,Believe In Yourself,18.1
m404,OZONE,18.1
m405,OUTERHEΛVEN,19.5
m406,θコトノハθカプセルθ,19.4
m407,Teufel,18.3
m408,Butterfly Twist,18.3
m409,Pulsar,18.6
m410,pique,18.7
m411,apo:llioth,18.2
m412,With It This Heaven?,18.5
m413,Calamity Tempest,19.4
m414,Daisycutter,19.5
m415,飄える翼追い掛けて,19.5
m416,MAYHEM,20.0
m417,ΛΛemoria,19.3
m418,Jack-the-Ripper◆,18.4
m419,Black Lotus,18.2
m420,Nhelv,18.4
m421,L9,18.4
m422,METATRON,18.1
m423,プログレなぞなぞクイズのテーマ,18.6
m424,Symphonic Tear,18.1
